,episode_reward,actor_loss,critic_loss
0,-1266.8003,0.34433424,0.2565442
500,-1209.9866,0.4086174,0.35989133
1000,-1683.0901,-0.12494795,0.05210857
1500,-1342.8546,-0.063350536,0.059097793
2000,-1325.398,0.008709839,0.04261686
2500,-1631.3901,-0.13235906,0.039001357
3000,-1407.0779,-0.07360496,0.058757663
3500,-1513.4506,-0.057271957,0.028579572
4000,-1709.5916,-0.07702238,0.021162834
4500,-1327.5917,0.07728106,0.22272575
5000,-1433.2197,-0.025936756,0.22453997
5500,-1758.4634,-0.12936519,0.041582715
6000,-1409.1886,-0.054218784,0.21917178
6500,-981.0115,-0.24437796,0.6955009
7000,-1493.3138,-0.044689447,0.31196654
7500,-1838.6053,-0.17168638,0.068837106
8000,-1097.6183,0.031792074,0.21695946
8500,-1392.9451,0.14844503,0.101030394
9000,-1661.4712,-0.045784745,0.013468336
9500,-1746.9012,-0.03507713,0.0097652525
10000,-1251.0367,-0.35647228,1.0435698
10500,-1477.9524,0.13543455,0.124811195
11000,-1359.4391,0.004498937,0.044914965
11500,-1529.8501,0.28253722,0.26414055
12000,-1600.3336,0.06739078,0.03022689
12500,-1381.0282,-0.13184148,0.1822679
13000,-1638.9205,-0.0031824925,0.0093194805
13500,-1535.8948,0.03627165,0.14761618
14000,-1447.9512,0.0048052324,0.06189958
14500,-1402.258,-0.108520426,0.06446107
15000,-1131.0381,-0.017858893,0.23666228
15500,-1852.046,-0.09464296,0.03745838
16000,-1403.6571,-0.04633407,0.08391006
16500,-1381.7319,0.024347361,0.31265008
17000,-915.035,-0.028364398,0.24375133
17500,-1628.976,0.05538123,0.016580278
18000,-1174.5078,0.4214229,0.7840625
18500,-1051.3252,0.36705863,0.9386198
19000,-1070.2797,-0.1561153,0.62083155
19500,-1471.1754,-0.025836298,0.057511512
20000,-1305.091,0.011695843,0.06662985
20500,-1518.223,-0.10250929,0.19492312
21000,-1646.0087,-0.060152557,0.023678835
21500,-1192.5126,-0.015436768,0.19565201
22000,-1573.5548,-0.095661215,0.041329473
22500,-1615.045,0.016205497,0.01919173
23000,-1904.6842,-0.15866952,0.06400963
23500,-1756.8313,-0.11204022,0.05279872
24000,-1483.9391,-0.06481752,0.24764772
24500,-1256.1223,0.07742838,0.63418514
25000,-1385.2992,0.05459173,0.14068738
25500,-1219.004,-0.009412121,0.6133745
26000,-1052.3214,-0.2948183,0.21778905
26500,-1489.6864,-0.025314204,0.061043344
27000,-874.0374,-0.012455109,0.6296623
27500,-1371.9586,-0.034622066,0.22063076
28000,-996.4503,0.07000112,0.43108168
28500,-1287.8363,-0.016342135,0.16587488
29000,-1390.7046,-0.0071803867,0.31938663
29500,-1152.438,-0.06660261,0.6401054
30000,-1501.7618,0.09360036,0.12746891
30500,-1511.2556,-0.021184135,0.056744624
31000,-1061.9818,0.1172653,0.3840529
31500,-1657.7573,0.14176887,0.060404915
32000,-1715.8687,0.022085227,0.009321032
32500,-1530.5472,-0.028576856,0.025729159
33000,-1566.1229,0.10886883,0.102401465
33500,-1482.0634,-0.058592092,0.5052187
34000,-1068.5996,-0.13916747,0.7257595
34500,-1315.9752,0.07622473,0.22619653
35000,-895.26117,-0.008236056,0.30366376
35500,-905.5767,0.0020829625,0.28789914
36000,-1165.9083,-0.034609288,0.4948471
36500,-1132.5945,0.029359404,0.44384852
37000,-1156.2948,-0.08007811,0.3935932
37500,-1299.4861,0.24924403,0.37187493
38000,-957.0088,-0.059203427,0.45627353
38500,-1286.2772,0.023167236,0.2076606
39000,-1293.0286,-0.11148825,0.24710612
39500,-1084.8046,-0.03934567,0.85653675
40000,-892.1454,0.08669182,0.47950488
40500,-1677.9725,0.09334964,0.10223302
41000,-1064.454,0.11047608,0.43041003
41500,-1091.9604,-0.00041323714,0.27614352
42000,-1401.9279,0.040750045,0.0952754
42500,-1541.3176,-0.039279506,0.09752331
43000,-1711.2872,0.011099938,0.032138795
43500,-1319.3761,-0.026813796,0.16839978
44000,-1135.4998,0.050770264,0.31315294
44500,-1796.2802,0.0028197868,0.063413695
45000,-1164.0411,0.025025357,0.21086323
45500,-969.5785,-0.06462761,0.29535714
46000,-747.82947,0.013325684,0.4167073
46500,-1188.5273,-0.03911574,0.32179016
47000,-1596.0817,0.24930264,0.38141426
47500,-1188.0208,0.013809452,0.15578216
48000,-1285.0487,-0.03051534,0.25914758
48500,-1111.6515,0.04841574,0.22922254
49000,-1429.887,0.051895276,0.178622
49500,-1202.6593,0.11708343,0.28064737
50000,-1231.5784,0.14435571,0.24875827
50500,-1120.6233,-0.02423346,0.49092153
51000,-1213.8273,-0.08620352,0.34777117
51500,-1206.1415,0.09821044,0.35801244
52000,-1616.0933,-0.10503198,0.11836858
52500,-1304.9231,-0.07578691,0.52015954
53000,-1322.2969,-0.0111648105,0.3631369
53500,-1019.0168,0.16090432,0.66459846
54000,-956.4056,0.20768237,0.63183194
54500,-1232.2616,0.07288525,0.32658002
55000,-1434.087,-0.25256386,0.6088229
55500,-1101.5375,-0.0019859988,0.41191536
56000,-1772.0022,-0.16472428,0.082738325
56500,-1503.894,0.14732835,0.44341257
57000,-1285.6727,-0.011163664,0.3146484
57500,-1148.6145,0.072720334,0.30285397
58000,-1045.054,-0.07831459,0.28071803
58500,-1186.1523,0.05377079,0.28086415
59000,-1820.2891,-0.24951696,0.11337703
59500,-876.2176,-0.090419166,0.29405138
60000,-1174.991,-0.24318524,0.40440255
60500,-1193.953,0.09174493,0.3381953
61000,-1882.8254,-0.23551103,0.086111166
61500,-1249.8187,-0.08386943,0.17988168
62000,-1322.2006,0.06623923,0.22385655
62500,-1167.8331,-0.07875911,0.2385884
63000,-1519.328,-0.06490779,0.18246119
63500,-1097.631,-0.07013464,0.32477123
64000,-1272.2596,-0.011726126,0.23673664
64500,-1302.6123,0.1899271,0.2450349
65000,-1291.5121,0.0066321623,0.2171676
65500,-1767.2245,-0.011783231,0.07343003
66000,-1155.7804,0.21795061,0.4265854
66500,-1442.8434,0.28887784,0.3793729
67000,-1160.1584,0.070192136,0.30308586
67500,-1285.611,-0.21730317,0.25084543
68000,-1335.7792,0.14001098,0.2034365
68500,-1140.7782,-0.064355016,0.43468502
69000,-1540.8579,0.30490598,0.4311338
69500,-984.46356,0.14484894,0.41560966
70000,-1238.5665,-0.018041937,0.37495494
70500,-778.61,0.14276063,0.5395457
71000,-1121.8984,0.00079486426,0.36170655
71500,-1287.9442,-0.03188147,0.4418705
72000,-968.9902,-0.03833043,0.4609403
72500,-977.1186,-0.0068564396,0.46187657
73000,-1293.6965,0.061253317,0.25042623
73500,-912.3416,0.08820851,0.4257795
74000,-1565.7784,-0.22409862,0.20308988
74500,-1253.434,0.050940916,0.19915418
75000,-1003.2183,0.21659595,0.39821652
75500,-1438.6752,0.041689754,0.14658822
76000,-1300.3209,0.034839973,0.21789622
76500,-1186.3076,0.0624066,0.37957406
77000,-899.4336,0.061462775,0.3696723
77500,-1155.9467,-0.034662887,0.25285208
78000,-1018.6778,0.26333272,0.48364174
78500,-1823.0305,0.10542881,0.08395757
79000,,,
79500,,,
80000,,,
80500,,,
81000,,,
81500,,,
82000,,,
82500,,,
83000,,,
83500,,,
84000,,,
84500,,,
85000,,,
85500,,,
86000,,,
86500,,,
87000,,,
87500,,,
88000,,,
88500,,,
89000,,,
89500,,,
90000,,,
90500,,,
91000,,,
91500,,,
92000,,,
92500,,,
93000,,,
93500,,,
94000,,,
94500,,,
95000,,,
95500,,,
96000,,,
96500,,,
97000,,,
97500,,,
98000,,,
98500,,,
99000,,,
99500,,,
100000,,,
100500,,,
101000,,,
101500,,,
102000,,,
102500,,,
103000,,,
103500,,,
104000,,,
104500,,,
105000,,,
105500,,,
106000,,,
106500,,,
107000,,,
107500,,,
108000,,,
108500,,,
109000,,,
109500,,,
110000,,,
110500,,,
111000,,,
111500,,,
112000,,,
112500,,,
113000,,,
113500,,,
114000,,,
114500,,,
115000,,,
115500,,,
116000,,,
116500,,,
117000,,,
117500,,,
118000,,,
118500,,,
119000,,,
119500,,,
120000,,,
120500,,,
121000,,,
121500,,,
122000,,,
122500,,,
123000,,,
123500,,,
124000,,,
124500,,,
125000,,,
125500,,,
126000,,,
126500,,,
127000,,,
127500,,,
128000,,,
128500,,,
129000,,,
129500,,,
130000,,,
130500,,,
131000,,,
131500,,,
132000,,,
132500,,,
133000,,,
133500,,,
134000,,,
134500,,,
135000,,,
135500,,,
136000,,,
136500,,,
137000,,,
137500,,,
138000,,,
138500,,,
139000,,,
139500,,,
140000,,,
140500,,,
141000,,,
141500,,,
142000,,,
142500,,,
143000,,,
143500,,,
144000,,,
144500,,,
145000,,,
145500,,,
146000,,,
146500,,,
147000,,,
147500,,,
148000,,,
148500,,,
149000,,,
149500,,,
150000,,,
150500,,,
151000,,,
151500,,,
152000,,,
152500,,,
153000,,,
153500,,,
154000,,,
154500,,,
155000,,,
155500,,,
156000,,,
156500,,,
157000,,,
157500,,,
158000,,,
158500,,,
159000,,,
159500,,,
160000,,,
160500,,,
161000,,,
161500,,,
162000,,,
162500,,,
163000,,,
163500,,,
164000,,,
164500,,,
165000,,,
165500,,,
166000,,,
166500,,,
167000,,,
167500,,,
168000,,,
168500,,,
169000,,,
169500,,,
170000,,,
170500,,,
171000,,,
171500,,,
172000,,,
172500,,,
173000,,,
173500,,,
174000,,,
174500,,,
175000,,,
175500,,,
176000,,,
176500,,,
177000,,,
177500,,,
178000,,,
178500,,,
179000,,,
179500,,,
180000,,,
180500,,,
181000,,,
181500,,,
182000,,,
182500,,,
183000,,,
183500,,,
184000,,,
184500,,,
185000,,,
185500,,,
186000,,,
186500,,,
187000,,,
187500,,,
188000,,,
188500,,,
189000,,,
189500,,,
190000,,,
190500,,,
191000,,,
191500,,,
192000,,,
192500,,,
193000,,,
193500,,,
194000,,,
194500,,,
195000,,,
195500,,,
196000,,,
196500,,,
197000,,,
197500,,,
198000,,,
198500,,,
199000,,,
199500,,,
